rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,content_type,created_month_num,created_full_date,channel_age_days,created_weekday
783,Neha Kakkar,14100000,2131548711.0,Music,Neha Kakkar,149,India,IN,Music,4624.0,110.0,134.0,25605000.0,6400.0,102400.0,76800.0,1200000.0,2012.0,10.0,22,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Music,10,2012-10-22,4836,0
784,#Refugio Mental,14100000,3594936775.0,Entertainment,#Refugio Mental,846,Unknown,Unknown,Entertainment,2218.0,,155.0,6942000.0,1700.0,27800.0,20800.0,333200.0,2013.0,8.0,10,,,,,,,Entertainment,8,2013-08-10,4544,5
785,ýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýý,14100000,3920221322.0,Entertainment,ýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýý,65,Unknown,Unknown,,3999155.0,,,20351.0,5.0,81.0,61.0,977.0,2017.0,8.0,4,,,,,,,Entertainment,8,2017-08-04,3089,4
786,Trap City,14100000,5129529846.0,Music,TrapCity,3,Australia,AU,People,4032620.0,3671.0,7629.0,147.0,0.04,0.59,0.44,7.0,2015.0,11.0,4,113.1,25766605.0,5.27,21844756.0,-25.274398,133.775136,Music,11,2015-11-04,3728,2
787,Supercar Blondie,14100000,5405563355.0,Autos & Vehicles,Supercar Blondie,855,United Arab Emirates,AE,Autos,1202.0,7.0,1.0,353259000.0,88300.0,1400000.0,1100000.0,17000000.0,2007.0,9.0,12,36.8,9770529.0,2.35,8479744.0,23.424076,53.847818,Autos & Vehicles,9,2007-09-12,6703,2
788,Yudist Ardhana,14100000,6036496916.0,Entertainment,Yudist Ardhana,2854,Indonesia,ID,Entertainment,1029.0,27.0,154.0,176062000.0,44000.0,704200.0,528200.0,8500000.0,2016.0,1.0,6,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327,Entertainment,1,2016-01-06,3665,2
789,Lana Del Rey,14100000,6884215292.0,Music,Lana Del Rey,43,United States,US,Music,856.0,160.0,135.0,135563000.0,33900.0,542300.0,406700.0,6500000.0,2011.0,5.0,5,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Music,5,2011-05-05,5372,3
790,MalumaVEVO,14100000,19013942981.0,Music,MalumaVEVO,182,United States,US,Music,138.0,160.0,135.0,98834000.0,24700.0,395300.0,296500.0,4700000.0,2011.0,6.0,15,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Music,6,2011-06-15,5331,2
791,F2Freestylers - Ultimate Soccer Skills Channel,14100000,3280481927.0,Sports,F2Freestylers - Ultimate Soccer Skills Channï¿½,777,United Kingdom,GB,Sports,2530.0,28.0,10.0,10222000.0,2600.0,40900.0,30700.0,490600.0,2011.0,4.0,9,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973,Sports,4,2011-04-09,5398,5
792,Bie The Ska,14100000,4627069704.0,Entertainment,Bie The Ska,1540,Thailand,TH,Entertainment,1531.0,14.0,155.0,12502000.0,3100.0,50000.0,37500.0,600100.0,2006.0,10.0,3,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541,Entertainment,10,2006-10-03,7047,1
793,AM3NlC,14000000,4959982720.0,Gaming,AM3NlC,5757,Brazil,BR,People,1392.0,45.0,49.0,10210000.0,2600.0,40800.0,30600.0,490100.0,2012.0,12.0,15,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Gaming,12,2012-12-15,4782,5
794,Narins Beauty,14000000,2214167846.0,Howto & Style,Narins Beauty,431,Sweden,SE,Entertainment,4325.0,3.0,156.0,13709000.0,3400.0,54800.0,41100.0,658000.0,2014.0,9.0,24,67.0,10285453.0,6.48,9021165.0,60.128161,18.643501,Howto & Style,9,2014-09-24,4134,2
795,TV Ana Emilia,14000000,4674164601.0,People & Blogs,TV Ana Emilia,651,Mexico,MX,Entertainment,1504.0,29.0,156.0,26783000.0,6700.0,107100.0,80300.0,1300000.0,2014.0,12.0,30,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784,People & Blogs,12,2014-12-30,4037,1
796,ýýýýýýýýýýýý,14000000,7719743112.0,Gaming,ýýýýýýýýýýýý,2210,Russia,RU,Games,703.0,12.0,56.0,150570000.0,37600.0,602300.0,451700.0,7200000.0,2013.0,10.0,26,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756,Gaming,10,2013-10-26,4467,5
797,Luli Pampï¿½,14000000,8623705301.0,Music,Luli Pampï¿½,294,Spain,ES,Music,579.0,15.0,136.0,201659000.0,50400.0,806600.0,605000.0,9700000.0,2012.0,12.0,22,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922,Music,12,2012-12-22,4775,5
798,Gallina Pintadita,14000000,9660950823.0,Music,Gallina Pintadita,62,Mexico,MX,Film,477.0,29.0,40.0,70626000.0,17700.0,282500.0,211900.0,3400000.0,2011.0,8.0,2,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784,Music,8,2011-08-02,5283,1
799,ViralHog,14000000,18917687143.0,People & Blogs,ViralHog,41117,United States,US,Animals,136.0,159.0,3.0,1364000000.0,340900.0,5500000.0,4100000.0,65500000.0,2014.0,8.0,22,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,People & Blogs,8,2014-08-22,4167,4
800,ETV Jabardasth,14000000,13542939513.0,People & Blogs,ETV Jabardasth,9652,India,IN,Comedy,268.0,111.0,34.0,133584000.0,33400.0,534300.0,400800.0,6400000.0,2015.0,7.0,14,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,People & Blogs,7,2015-07-14,3841,1
801,Zee Telugu,14000000,12597067132.0,Entertainment,zeetelugu,3,India,IN,Music,4039216.0,4651.0,4603.0,7.0,0.0,0.03,0.02,0.34,2007.0,1.0,31,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Entertainment,1,2007-01-31,6927,2
802,Crescendo com Luluca,14000000,5094050461.0,Entertainment,Crescendo com Luluca,1307,Brazil,BR,People,1327.0,44.0,48.0,68058000.0,17000.0,272200.0,204200.0,3300000.0,2015.0,8.0,30,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Entertainment,8,2015-08-30,3794,6
803,Jazzghost,13900000,5673347763.0,Gaming,Jazzghost,5494,Brazil,BR,Games,1140.0,46.0,57.0,106718000.0,26700.0,426900.0,320200.0,5100000.0,2012.0,8.0,30,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Gaming,8,2012-08-30,4889,3
804,karameeshchannel,13900000,9106781518.0,Entertainment,karameeshchannel,2254,Jordan,JO,Music,526.0,3.0,137.0,87639000.0,21900.0,350600.0,262900.0,4200000.0,2012.0,1.0,18,34.4,10101694.0,14.72,9213048.0,30.585164,36.238414,Entertainment,1,2012-01-18,5114,2
805,Darkar Company Studios,13900000,2244318380.0,Film & Animation,Darkar Company Studios,183,United States,US,Comedy,4234.0,161.0,35.0,4598000.0,1100.0,18400.0,13800.0,220700.0,2009.0,2.0,15,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Film & Animation,2,2009-02-15,6181,6
806,Dental Digest,13900000,7450345720.0,People & Blogs,Dental Digest,324,Unknown,Unknown,People,745.0,,50.0,231562000.0,57900.0,926200.0,694700.0,11100000.0,2020.0,8.0,12,,,,,,,People & Blogs,8,2020-08-12,1985,2
807,T-Series Regional,13900000,5217553897.0,Entertainment,T-Series Regional,15075,India,IN,Music,1275.0,111.0,136.0,33484000.0,8400.0,133900.0,100500.0,1600000.0,2011.0,2.0,14,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Entertainment,2,2011-02-14,5452,0
808,ADEL et SAMI,13900000,5465532801.0,Entertainment,ADEL et SAMI,503,United States,US,Entertainment,1200.0,161.0,157.0,26883000.0,6700.0,107500.0,80600.0,1300000.0,2018.0,3.0,12,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Entertainment,3,2018-03-12,2869,0
809,Jamuna TV,13900000,12129583055.0,News & Politics,jamuna tv24,6,Bangladesh,BD,Entertainment,4056658.0,3776.0,6756.0,1.0,0.0,0.0,0.0,0.05,2021.0,2.0,10,20.6,167310838.0,4.19,60987417.0,23.684994,90.356331,News & Politics,2,2021-02-10,1803,2
810,Atlantic Records,13900000,12513842343.0,Music,Atlantic Records,1660,United States,US,Music,307.0,161.0,137.0,97284000.0,24300.0,389100.0,291900.0,4700000.0,2006.0,12.0,15,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Music,12,2006-12-15,6974,4
811,ýýýýýýýý ýý ýýýýýýýýýýýý,13900000,8451754769.0,,ýýýýýýýý ýý ýýýýýýýýýýýý,504,United States,US,People,600.0,161.0,50.0,114261000.0,28600.0,457000.0,342800.0,5500000.0,2018.0,10.0,12,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,People,10,2018-10-12,2655,4
812,Veritasium,13900000,2165885634.0,Education,Veritasium,369,United States,US,Education,4466.0,161.0,38.0,44149000.0,11000.0,176600.0,132400.0,2100000.0,2010.0,7.0,21,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Education,7,2010-07-21,5660,2
813,Alexa Rivera,13900000,3193226072.0,Howto & Style,Alexa Rivera,288,Unknown,Unknown,Entertainment,2613.0,,157.0,142760000.0,35700.0,571000.0,428300.0,6900000.0,2010.0,8.0,21,,,,,,,Howto & Style,8,2010-08-21,5629,5
